dataset,seed,case,accuracy,precision,recall,f1,status,authorized_roundtrip_mae
IoT Network Intrusion Dataset,42,1_cnn_bilstm_mlp_no_protection,0.997713184426642,0.9979972039396175,0.9995044442696452,0.99875025545093,evaluated,
IoT Network Intrusion Dataset,42,2_normalization_only,0.9971091199355664,0.9974485389941748,0.9993943207740108,0.9984204818709038,evaluated,
IoT Network Intrusion Dataset,42,3_normalization_plus_permutation_no_encryption,0.99702282500827,0.9974795458471396,0.9992684653504288,0.9983732042375278,evaluated,
IoT Network Intrusion Dataset,42,4_aes_gcm_only_no_permutation,0.997713184426642,0.9979972039396175,0.9995044442696452,0.99875025545093,evaluated,0.0
IoT Network Intrusion Dataset,42,5_full_normalization_permutation_aes_gcm_local_ledger,0.9971091199355664,0.9974485389941748,0.9993943207740108,0.9984204818709038,evaluated,0.0
IoT Network Intrusion Dataset,43,1_cnn_bilstm_mlp_no_protection,0.997638845366234,0.9975578426552912,0.999872840271486,0.9987139999364938,evaluated,
IoT Network Intrusion Dataset,43,2_normalization_only,0.9973619198227676,0.9972415979708308,0.9998887352375504,0.9985634122530616,evaluated,
IoT Network Intrusion Dataset,43,3_normalization_plus_permutation_no_encryption,0.9973400572798624,0.9972336496009004,0.999872840271486,0.9985515010814136,evaluated,
IoT Network Intrusion Dataset,43,4_aes_gcm_only_no_permutation,0.997638845366234,0.9975578426552912,0.999872840271486,0.9987139999364938,evaluated,0.0
IoT Network Intrusion Dataset,43,5_full_normalization_permutation_aes_gcm_local_ledger,0.9973619198227676,0.9972415979708308,0.9998887352375504,0.9985634122530616,evaluated,0.0
IoT Network Intrusion Dataset,44,1_cnn_bilstm_mlp_no_protection,0.9970880278398918,0.9972029396555776,0.9996230119772236,0.9984115093014956,evaluated,
IoT Network Intrusion Dataset,44,2_normalization_only,0.9969729869644308,0.9972727272727272,0.9994266640486944,0.9983485338825144,evaluated,
IoT Network Intrusion Dataset,44,3_normalization_plus_permutation_no_encryption,0.9969873670738636,0.9972338024637182,0.9994816414686823,0.9983564566932224,evaluated,
IoT Network Intrusion Dataset,44,4_aes_gcm_only_no_permutation,0.9970880278398918,0.9972029396555776,0.9996230119772236,0.9984115093014956,evaluated,0.0
IoT Network Intrusion Dataset,44,5_full_normalization_permutation_aes_gcm_local_ledger,0.9969729869644308,0.9972727272727272,0.9994266640486944,0.9983485338825144,evaluated,0.0
IoT Network Intrusion Dataset,45,1_cnn_bilstm_mlp_no_protection,0.9947073338102816,0.9954937413073712,0.9987401926388978,0.9971143244932156,evaluated,
IoT Network Intrusion Dataset,45,2_normalization_only,0.9952110496269584,0.9956615707338778,0.9991229189258148,0.997389241765764,evaluated,
IoT Network Intrusion Dataset,45,3_normalization_plus_permutation_no_encryption,0.9952256500854126,0.9956065084056313,0.999194680104612,0.9973973671224592,evaluated,
IoT Network Intrusion Dataset,45,4_aes_gcm_only_no_permutation,0.9947073338102816,0.9954937413073712,0.9987401926388978,0.9971143244932156,evaluated,0.0
IoT Network Intrusion Dataset,45,5_full_normalization_permutation_aes_gcm_local_ledger,0.9952110496269584,0.9956615707338778,0.9991229189258148,0.997389241765764,evaluated,0.0
IoT Network Intrusion Dataset,46,1_cnn_bilstm_mlp_no_protection,0.9976674930684936,0.9980352531716628,0.9994137770425452,0.9987240394183544,evaluated,
IoT Network Intrusion Dataset,46,2_normalization_only,0.997337421332903,0.9980824929196652,0.9990042240174742,0.998543145761678,evaluated,
IoT Network Intrusion Dataset,46,3_normalization_plus_permutation_no_encryption,0.9976014787213756,0.997915313625029,0.9994619597513772,0.9986880378743808,evaluated,
IoT Network Intrusion Dataset,46,4_aes_gcm_only_no_permutation,0.9976674930684936,0.9980352531716628,0.9994137770425452,0.9987240394183544,evaluated,0.0
IoT Network Intrusion Dataset,46,5_full_normalization_permutation_aes_gcm_local_ledger,0.997337421332903,0.9980824929196652,0.9990042240174742,0.998543145761678,evaluated,0.0
NNSL-KDD,42,1_cnn_bilstm_mlp_no_protection,0.9891600748202736,0.989475181339781,0.9877425461429248,0.9886081045875472,evaluated,
NNSL-KDD,42,2_normalization_only,0.988709350280576,0.9890474610023232,0.987221959299574,0.9881338670329932,evaluated,
NNSL-KDD,42,3_normalization_plus_permutation_no_encryption,0.9886642778266064,0.9884442339569028,0.9877425461429248,0.9880932654752042,evaluated,
NNSL-KDD,42,4_aes_gcm_only_no_permutation,0.9891600748202736,0.989475181339781,0.9877425461429248,0.9886081045875472,evaluated,0.0
NNSL-KDD,42,5_full_normalization_permutation_aes_gcm_local_ledger,0.988709350280576,0.9890474610023232,0.987221959299574,0.9881338670329932,evaluated,0.0
NNSL-KDD,43,1_cnn_bilstm_mlp_no_protection,0.9893149387975924,0.9879371610248736,0.98988100815141,0.9889081293583564,evaluated,
NNSL-KDD,43,2_normalization_only,0.9881201956673656,0.9854950795205448,0.98988100815141,0.9876831747960828,evaluated,
NNSL-KDD,43,3_normalization_plus_permutation_no_encryption,0.9883681612226956,0.9860916643330532,0.9897873137824416,0.987936032918732,evaluated,
NNSL-KDD,43,4_aes_gcm_only_no_permutation,0.9893149387975924,0.9879371610248736,0.98988100815141,0.9889081293583564,evaluated,0.0
NNSL-KDD,43,5_full_normalization_permutation_aes_gcm_local_ledger,0.9881201956673656,0.9854950795205448,0.98988100815141,0.9876831747960828,evaluated,0.0
NNSL-KDD,44,1_cnn_bilstm_mlp_no_protection,0.9897476340694006,0.9893546867640132,0.989214901332831,0.9892847891105198,evaluated,
NNSL-KDD,44,2_normalization_only,0.9890716538981524,0.9880963583325492,0.989073611830641,0.988584743568621,evaluated,
