dataset,seed,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,test_samples,train_samples,n_features,deep_feature_dim,baseline_runtime_s,normalization_s,permutation_s,encryption_s,conventional_storage_s,blockchain_s,decryption_s,unshuffle_s,security_extra_time_s,secure_total_runtime_s,overhead_pct,throughput_samples_per_s,process_memory_mb,reconstruction_mae
cicids2017_binary_balanced,42,0.9823059092546477,0.9799252452888958,0.9848101860184845,0.982361642915969,0.9982856573921558,125035,2578,1941,125842,255396,595984,52,64,699.7072187089998,0.6982362000003377,0.4990941490000296,0.6764083539997046,0.36982850100002906,0.7154254039996886,0.888718874999995,0.16313376900006915,4.010845251999854,703.7180639609996,0.5732176465751053,362.9237518253534,3762.69140625,0.0
cicids2017_binary_balanced,43,0.9800778405130895,0.9805524239007892,0.9796320630749015,0.980092027420415,0.9984426751338291,125062,2484,2604,125244,255394,595986,52,64,699.1791774650001,0.7934160599997995,0.5925270019997697,1.2023393460003717,0.6936699199995928,1.2597506860001886,0.7840076259999478,0.13443650099998194,5.460147140999652,704.6393246059997,0.7809367494032643,362.4464191560753,4025.65234375,0.0
cicids2017_binary_balanced,44,0.9822367519527044,0.9814381885423427,0.9830600065786382,0.9822484281035906,0.9985389224758253,125355,2374,2163,125523,255415,595965,52,64,680.7709779350002,0.7098234420000153,0.512634091000109,0.7655672179998874,0.3706130869995832,0.745734905000063,1.0762252969998372,0.15152412300085416,4.332122163000349,685.1031000980006,0.6363552947190969,372.81250072210173,4310.69921875,0.0
cicids2017_binary_balanced,45,0.9711905153444373,0.9794404881390495,0.9626019697183209,0.97094822957137,0.9968335100606163,125087,2581,4777,122957,255402,595978,52,64,666.9924531980005,0.8899068560003798,0.5906948090005244,1.218231026000467,0.6935721099998773,0.8134702760007713,0.8041533240002536,0.1434753539997473,5.153503755002021,672.1459569530025,0.7726479857894545,379.97996916889605,4540.05859375,0.0
cicids2017_binary_balanced,46,0.9788331826171378,0.9807084819814864,0.9768932722789715,0.9787971593605032,0.9982218781800641,125237,2455,2952,124803,255447,595933,52,64,707.3467449149994,0.7394900049994249,0.5198314950002896,0.7557385070003875,0.3899731560004511,0.7524594240003353,0.8233875420000913,0.13270458900024096,4.113584718001221,711.4603296330006,0.581551374566026,359.0460203617673,4778.87109375,0.0
IoT Network Intrusion Dataset,42,0.9977131844266421,0.9979972039396177,0.9995044442696452,0.9987502554509299,0.999342934161776,11673,255,63,127067,139058,322638,69,64,401.6084136270001,0.3867520900003001,0.22625511099977302,0.4417248240006302,0.357812334999835,0.759485226999459,0.7408546859996932,0.06694055700063473,2.979824830000325,404.58823845700044,0.7419727099561919,343.7025271182693,4397.62109375,0.0
IoT Network Intrusion Dataset,43,0.997638845366234,0.9975578426552911,0.999872840271486,0.9987139999364938,0.9989982028505526,11087,308,16,125810,137221,324475,69,64,393.98556551099955,0.3891356389995053,0.23243412500050908,0.4122129959996528,0.20116955499997857,0.38816735000000335,0.4313454040002398,0.04912245300056384,2.1035875220004527,396.089153033,0.5339250231850748,346.43968144355495,4644.015625,0.0
IoT Network Intrusion Dataset,44,0.9970880278398918,0.9972029396555777,0.9996230119772236,0.9984115093014956,0.9988600289130508,11399,357,48,127277,139081,322615,69,64,383.04469929099923,0.38698306899914314,0.23407513399979507,0.416121834000478,0.20747961000051873,0.39171005400021386,0.4591321890002291,0.054024606999519165,2.149526496999897,385.19422578799913,0.5611685792751046,361.06719854244795,4884.046875,0.0
IoT Network Intrusion Dataset,45,0.9947073338102816,0.9954937413073713,0.9987401926388978,0.9971143244932157,0.9967900160446563,10999,567,158,125258,136982,324714,69,64,409.90505285200015,0.39265191099912045,0.2643718170002103,0.42079826000008325,0.211671072000172,0.39169236899942916,0.4539325519999693,0.05652197199924558,2.19163995299823,412.0966928049984,0.5346701480622004,332.40257054142154,5079.5390625,0.0
IoT Network Intrusion Dataset,46,0.9976674930684936,0.9980352531716628,0.9994137770425453,0.9987240394183545,0.9992246299186025,11563,245,73,124453,136334,325362,69,64,395.8053224890027,0.38293205099944316,0.269781895000051,0.4491108720012562,0.22168404400144937,0.3929698100000678,0.4415573080004833,0.0681576139995741,2.226193594002325,398.03151608300504,0.5624466038008316,342.5206158086463,5281.21875,0.0
NNSL-KDD,42,0.9891600748202736,0.989475181339781,0.9877425461429248,0.9886081045875471,0.9993277316861695,23021,222,259,20871,44373,103534,121,64,153.43805397899814,0.11477781800022058,0.05134767499839654,0.15087545799906366,0.07102121999923838,0.1266810830002214,0.12987233199964976,0.012438390998795512,0.6570139769955858,154.09506795599373,0.42819493597430186,287.95859976953955,5061.31640625,0.0
NNSL-KDD,43,0.9893149387975925,0.9879371610248737,0.9898810081514101,0.9889081293583564,0.9992453603527565,22757,258,216,21130,44361,103546,121,64,162.04748059399935,0.14767461900009948,0.048950739999781945,0.21061341099994024,0.12352871099938056,0.24394035399927816,0.24399822299892548,0.014396489999853657,1.0331025479972595,163.0805831419966,0.6375307682725648,272.0188948636162,5306.53125,0.0
NNSL-KDD,44,0.9897476340694006,0.9893546867640132,0.989214901332831,0.9892847891105198,0.9993777094819625,22921,226,229,21004,44380,103527,121,64,159.0598700460032,0.13036085999920033,0.04347540799972194,0.12618949500028975,0.06591135400049097,0.12543131599886692,0.13275524600067,0.01092617099857307,0.635049849997813,159.694919896001,0.39925208653455097,277.90489533982566,5552.99609375,0.0
