dataset,seed,shadow_models,shadow_data_origin,attack_classifier,attack_train_samples,attack_test_samples,attack_accuracy,attack_auc,status
IoT Network Intrusion Dataset,42,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.4980833333333333,0.4994211527777778,evaluated
IoT Network Intrusion Dataset,43,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
IoT Network Intrusion Dataset,44,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5013333333333333,0.504081,evaluated
IoT Network Intrusion Dataset,45,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
IoT Network Intrusion Dataset,46,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
NNSL-KDD,42,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
NNSL-KDD,43,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5015833333333334,0.5083611527777777,evaluated
NNSL-KDD,44,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.4991666666666666,0.4988274583333333,evaluated
NNSL-KDD,45,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.4998333333333333,0.4989874305555556,evaluated
NNSL-KDD,46,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.4986666666666666,0.4973360694444444,evaluated
cicids2017_binary_balanced,42,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5015,0.5000709027777778,evaluated
cicids2017_binary_balanced,43,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.49875,0.4990774166666667,evaluated
cicids2017_binary_balanced,44,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5015833333333334,0.4995265,evaluated
cicids2017_binary_balanced,45,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.50025,0.5005225,evaluated
cicids2017_binary_balanced,46,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5008333333333334,0.498443486111111,evaluated
train_test_network,42,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
train_test_network,43,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
train_test_network,44,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
train_test_network,45,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.5,0.5,evaluated
train_test_network,46,2,heldout_shadow_pool_disjoint_from_target_training_and_target_nonmember_evaluation,logistic_regression_on_binary_confidence_vector,28000,12000,0.4995833333333333,0.5019244583333333,evaluated
