dataset,seed,condition,attacker_data_origin,attacker_train_samples,attacker_test_samples,mse,cosine_similarity,status
IoT Network Intrusion Dataset,42,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0089818201959133,0.990675449371338,evaluated
IoT Network Intrusion Dataset,42,permuted_deep_features,held_out_target_test_only,12000,8000,0.0085517074912786,0.9911112785339355,evaluated
IoT Network Intrusion Dataset,43,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0090118488296866,0.99303537607193,evaluated
IoT Network Intrusion Dataset,43,permuted_deep_features,held_out_target_test_only,12000,8000,0.0093541275709867,0.9926161170005798,evaluated
IoT Network Intrusion Dataset,44,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0082459580153226,0.9913201332092284,evaluated
IoT Network Intrusion Dataset,44,permuted_deep_features,held_out_target_test_only,12000,8000,0.0082853529602289,0.9911607503890992,evaluated
IoT Network Intrusion Dataset,45,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0192766413092613,0.9846361875534058,evaluated
IoT Network Intrusion Dataset,45,permuted_deep_features,held_out_target_test_only,12000,8000,0.0200371816754341,0.9855069518089294,evaluated
IoT Network Intrusion Dataset,46,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0090801212936639,0.99162095785141,evaluated
IoT Network Intrusion Dataset,46,permuted_deep_features,held_out_target_test_only,12000,8000,0.0081165628507733,0.99265319108963,evaluated
NNSL-KDD,42,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0052003343589603,0.9962273240089417,evaluated
NNSL-KDD,42,permuted_deep_features,held_out_target_test_only,12000,8000,0.0057760803028941,0.9959495663642884,evaluated
NNSL-KDD,43,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0049978145398199,0.9961034059524536,evaluated
NNSL-KDD,43,permuted_deep_features,held_out_target_test_only,12000,8000,0.0054255705326795,0.9960363507270812,evaluated
NNSL-KDD,44,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0068447431549429,0.995323121547699,evaluated
NNSL-KDD,44,permuted_deep_features,held_out_target_test_only,12000,8000,0.0074062882922589,0.9951788783073424,evaluated
NNSL-KDD,45,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0058545134961605,0.9953957796096802,evaluated
NNSL-KDD,45,permuted_deep_features,held_out_target_test_only,12000,8000,0.005089693237096,0.9960736632347108,evaluated
NNSL-KDD,46,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0042717834003269,0.9967457056045532,evaluated
NNSL-KDD,46,permuted_deep_features,held_out_target_test_only,12000,8000,0.0044723018072545,0.9964063763618468,evaluated
cicids2017_binary_balanced,42,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0083504486829042,0.9940217137336732,evaluated
cicids2017_binary_balanced,42,permuted_deep_features,held_out_target_test_only,12000,8000,0.0084275295957922,0.9938339591026306,evaluated
cicids2017_binary_balanced,43,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0087692346423864,0.9937308430671692,evaluated
cicids2017_binary_balanced,43,permuted_deep_features,held_out_target_test_only,12000,8000,0.0100669981911778,0.9928839802742004,evaluated
cicids2017_binary_balanced,44,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.009390196762979,0.9933663606643676,evaluated
cicids2017_binary_balanced,44,permuted_deep_features,held_out_target_test_only,12000,8000,0.0097031723707914,0.9931329488754272,evaluated
cicids2017_binary_balanced,45,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0107822036370635,0.9918743968009948,evaluated
cicids2017_binary_balanced,45,permuted_deep_features,held_out_target_test_only,12000,8000,0.0107371592894196,0.9920944571495056,evaluated
cicids2017_binary_balanced,46,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0095372600480914,0.9932293891906738,evaluated
cicids2017_binary_balanced,46,permuted_deep_features,held_out_target_test_only,12000,8000,0.0093388296663761,0.993453085422516,evaluated
train_test_network,42,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0174676924943923,0.9980907440185548,evaluated
train_test_network,42,permuted_deep_features,held_out_target_test_only,12000,8000,0.0170723404735326,0.9980049729347228,evaluated
train_test_network,43,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0031799883581697,0.9946703314781188,evaluated
train_test_network,43,permuted_deep_features,held_out_target_test_only,12000,8000,0.0035965933930128,0.9952122569084167,evaluated
train_test_network,44,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.1864504665136337,0.994809865951538,evaluated
train_test_network,44,permuted_deep_features,held_out_target_test_only,12000,8000,0.1537955403327942,0.9945166110992432,evaluated
train_test_network,45,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0052332514896988,0.9965375661849976,evaluated
train_test_network,45,permuted_deep_features,held_out_target_test_only,12000,8000,0.0062817516736686,0.9960241913795472,evaluated
train_test_network,46,raw_deep_features_baseline,held_out_target_test_only,12000,8000,0.0042222058400511,0.9979661107063292,evaluated
train_test_network,46,permuted_deep_features,held_out_target_test_only,12000,8000,0.0048445235006511,0.99772971868515,evaluated
